threshold,alpha,polynomial_degree,mean_rmse_cl,mean_rmse_cd,mean_mae_cl,mean_mae_cd,mean_score,validation_case_count,candidate_status,failed_holdout_case,failure_message
0.05,0.01,4,0.1544510307009187,0.010330109002523874,0.1292062098812481,0.008614039065923791,0.08239056985172127,2,ok,,
0.1,0.01,4,0.1544510307009187,0.010330109002523874,0.1292062098812481,0.008614039065923791,0.08239056985172127,2,ok,,
0.1,0.05,4,0.1544510307009187,0.010330109002523874,0.1292062098812481,0.008614039065923791,0.08239056985172127,2,ok,,
0.1,0.1,4,0.1544510307009187,0.010330109002523874,0.1292062098812481,0.008614039065923791,0.08239056985172127,2,ok,,
0.2,0.05,4,0.1544510307009187,0.010330109002523874,0.1292062098812481,0.008614039065923791,0.08239056985172127,2,ok,,
0.2,0.1,4,0.1544510307009187,0.010330109002523874,0.1292062098812481,0.008614039065923791,0.08239056985172127,2,ok,,
0.2,0.01,4,0.1552352743003106,0.010598091139895863,0.13007174399234195,0.008799874254318146,0.08291668272010322,2,ok,,
0.01,0.0,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.01,0.01,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.01,0.05,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.01,0.1,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.05,0.0,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.05,0.01,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.05,0.05,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.05,0.1,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.1,0.0,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.1,0.01,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.1,0.05,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.1,0.1,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.2,0.0,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.2,0.01,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.2,0.05,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
0.2,0.1,3,inf,inf,inf,inf,inf,1,failed,B2,All simulation integrators failed for case B2. The current fitted model appears numerically unstable on this case.
